date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:59	144/144	---M-Z	200	added ('OK')	text/plain	etag:%22130-4febcad800e40-gzip%22	http://chris-wewerka.de/robots.txt		(from )
20:57:00	8745/8745	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Feb%202026%2019:56:59%20GMT	http://chris-wewerka.de/	/home/chris/websites/chris-website/chris-wewerka.de/index.html	(from )
20:57:01	3898/3898	---M-Z	200	added ('OK')	application/rss+xml	date:Sun,%2008%20Feb%202026%2019:57:00%20GMT	http://chris-wewerka.de/index.php?format=feed&type=rss	/home/chris/websites/chris-website/chris-wewerka.de/indexc0d0.php	(from http://chris-wewerka.de/)
20:57:01	8076/8076	---MC-	200	added ('OK')	application/atom+xml	date:Sun,%2008%20Feb%202026%2019:57:01%20GMT	http://chris-wewerka.de/index.php?format=feed&type=atom	/home/chris/websites/chris-website/chris-wewerka.de/index7b17.php	(from http://chris-wewerka.de/)
20:57:02	1406/1406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2257e-4febc903bfd80%22	http://chris-wewerka.de/templates/rhuk_milkyway/favicon.ico	/home/chris/websites/chris-website/chris-wewerka.de/templates/rhuk_milkyway/favicon.ico	(from http://chris-wewerka.de/)
20:57:03	77/77	---M-Z	200	added ('OK')	text/css	etag:%224d-4febc6219b000-gzip%22	http://chris-wewerka.de/plugins/content/attachments1.css	/home/chris/websites/chris-website/chris-wewerka.de/plugins/content/attachments1.css	(from http://chris-wewerka.de/)
20:57:05	74434/74434	---M-Z	200	added ('OK')	application/javascript	etag:%22122c2-4febc5ac4db40-gzip%22	http://chris-wewerka.de/media/system/js/mootools.js	/home/chris/websites/chris-website/chris-wewerka.de/media/system/js/mootools.js	(from http://chris-wewerka.de/)
20:57:06	1963/1963	---M-Z	200	added ('OK')	application/javascript	etag:%227ab-4febc5ae35fc0-gzip%22	http://chris-wewerka.de/media/system/js/caption.js	/home/chris/websites/chris-website/chris-wewerka.de/media/system/js/caption.js	(from http://chris-wewerka.de/)
20:57:06	1560/1560	---M-Z	200	added ('OK')	application/javascript	etag:%22618-4febc6228f240-gzip%22	http://chris-wewerka.de/plugins/content/attachments_refresh.js	/home/chris/websites/chris-website/chris-wewerka.de/plugins/content/attachments_refresh.js	(from http://chris-wewerka.de/)
20:57:07	10588/10588	---M-Z	200	added ('OK')	application/javascript	etag:%22295c-4febc5aa656c0-gzip%22	http://chris-wewerka.de/media/system/js/modal.js	/home/chris/websites/chris-website/chris-wewerka.de/media/system/js/modal.js	(from http://chris-wewerka.de/)
